DATE,Inflation_Rate
10/1/2013,-0.18%
11/1/2013,1.84%
12/1/2013,2.72%
1/1/2014,4.28%
2/1/2014,4.03%
3/1/2014,3.98%
4/1/2014,3.94%
5/1/2014,4.18%
6/1/2014,5.02%
7/1/2014,5.60%
8/1/2014,5.37%
9/1/2014,4.94%
10/1/2014,3.66%
11/1/2014,1.07%
12/1/2014,0.09%
1/1/2015,2.08%
2/1/2015,2.42%
3/1/2015,2.78%
4/1/2015,2.57%
5/1/2015,2.69%
6/1/2015,2.69%
7/1/2015,2.36%
8/1/2015,1.97%
9/1/2015,2.76%
10/1/2015,3.54%
11/1/2015,4.31%
12/1/2015,4.08%
1/1/2016,3.99%
2/1/2016,3.60%
3/1/2016,3.36%
4/1/2016,3.55%
5/1/2016,4.17%
6/1/2016,4.32%
7/1/2016,4.15%
8/1/2016,3.82%
9/1/2016,2.06%
10/1/2016,1.31%
11/1/2016,1.97%
12/1/2016,2.54%
1/1/2017,2.97%
2/1/2017,3.01%
3/1/2017,3.15%
4/1/2017,3.51%
5/1/2017,2.80%
6/1/2017,2.53%
7/1/2017,3.17%
8/1/2017,3.64%
9/1/2017,4.69%
10/1/2017,4.35%
11/1/2017,3.46%
12/1/2017,3.42%
1/1/2018,1.93%
2/1/2018,1.69%
3/1/2018,1.74%
4/1/2018,2.29%
5/1/2018,3.05%
6/1/2018,3.27%
7/1/2018,2.99%
8/1/2018,2.65%
9/1/2018,2.54%
10/1/2018,3.19%
11/1/2018,3.52%
12/1/2018,3.26%
1/1/2019,2.60%
2/1/2019,2.98%
3/1/2019,3.02%
4/1/2019,2.23%
5/1/2019,2.06%
6/1/2019,2.11%
7/1/2019,2.11%
8/1/2019,2.16%
9/1/2019,2.32%
10/1/2019,2.04%
11/1/2019,1.77%
12/1/2019,1.88%
1/1/2020,1.14%
2/1/2020,1.14%
3/1/2020,1.48%
4/1/2020,1.64%
5/1/2020,1.18%
6/1/2020,1.07%
7/1/2020,1.47%
8/1/2020,1.80%
9/1/2020,1.51%
10/1/2020,2.03%
11/1/2020,2.20%
12/1/2020,2.38%
1/1/2021,3.73%
2/1/2021,3.53%
3/1/2021,2.92%
4/1/2021,3.27%
5/1/2021,3.62%
6/1/2021,3.25%
7/1/2021,2.72%
8/1/2021,2.72%
9/1/2021,2.65%
10/1/2021,2.13%
11/1/2021,1.90%
12/1/2021,1.55%
